OCR,Sentiment
Ba8@ DaNn G@rainiD IR T३ PDBB WRHE W PRD BCEN 7TT Dian CI# BAMAUH LAR LENI CRAHIY,Neutral
"Nari nari mat kar pagle, Nari he nark ka dwar. Khus bhi ho to kya degi? Whi malmutra ka dwar. gai",Negative
Kitni push ops maarsakte ho dafly? 5 aur agar tumnicheho to ५० Hi rok SIX Hattt kamina.,Positive
अब इसमें मेरी कहां गलती है बताओ.. तरबूज़ वाली को बोला.... थोड़ी चोड़ी करके दिखाओ... अंदर सेलाल है क्या ? देखना है.. तरबूज फेंक के मारा भेन की लौड़ी ने,Negative
"""KUDI MENU KEHNDl... 'MENU JUTI LA DE SONIYE.. ""MAIN KEHNDA HATT BSDKaop""",Negative
"GIMDH L Agar 1 me 2 dale to kya hota hai Ye to apki himmat hai, hamart to ek se hi jaan nikal jat hai",Positive
"प्पू :- कोई कंडोम दिखाना? वक्रेता : या फिर कोई इम्पोर्टेड? प्पू :- नहीं, कोई सस्ता और खुश्बु वाला है दे दो! डोम विक्रेता लौड़े पे अगरबत्ती का प्लास् वर लगा के चोद भोसड़ी केI कोहिनूर",Negative
औरतो के दो करिश्मे... घास नहीं खाती है फिर भी दुध देती है लन्ड नहीं है फिर भी आदमी की गाड मार लेती है.,Negative
ellyiriend Urct int 40|4=70 Bhal Wamhaliia Kanaya Ddeodelha Kattlaa| Elni Tll Nlutthal Dro Iiutthal Ralia solaa lai re Tu 117!,Positive
"पठान नौकरानी को, तुम बेगम सेज्यादा मज़ा देती हो""| नौकरानीः हजूर, ये तो आपकी ज़र्रा नवाजी है[ वर्ना सारे नौकर तो कहते हैं कि बेगम ज्यादा मज़ा देती हैl",Negative
tohaD bhundwa ma huluaar Lundwa,Negative
सुहाग रात में; बिल्डरः तेरे होंठ जैसे हैं ङ्ै्लेर्लै लैंडस्केप गार्डन की तरह हैl बीवीः अब भूमि-पूजन भी करोगे या मज़दूर बुलाऊँ,Neutral
"पहला बच्चा चादरमोद दूसरा बच्चा तू चादरमोद पत्नी ( ग़ुस्से में) - कुछ कहेंगे इन्हें आप? पति ""मादरचोद"" होता है चूतियों | पत्ना आप भी गांडमरे हि हो, वो चादर मोड़ने की बात कर रहे हैंl",Positive
एक आदमी अपने पड़ोसी को चिड़ाने के लिये किसी बात पे बोला......यार तेरी शक्ल तो बिल्कुल मेरे लौडे जैसी है पड़ोसी भी बाबा सैक्सीदास का भक्त जवाब तुरंत था मूँज दाबिदि जवाब दिया| पड़ोसी तभी मैं सोचु भाभी मुझे देखते ही अपनी टार्गें क्यों फैला लेती है,Neutral
"GAMDH ] Atul mera doodh nhi pita hai is main Atul kya hai Atul chutiya hai ,aap hume mauka do PURA nichod ke talhdence",Negative
